n=37 p=23 N= 1 v=1 q=851 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p=29 N= 1 v=1 q=1073 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p=31 N= 1 v=1 q=1147 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p= 3 N= 1 v=2 q=369 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p= 5 N= 1 v=1 q=205 m=20 d=20 t=20 delta=0 p|n-1=True | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p= 5 N= 3 v=1 q=205 m=61 d=20 t=20 delta=0 p|n-1=True | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=41 p= 5 N= 7 v=2 q=1025 m=143 d=20 t=20 delta=0 p|n-1=True | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=41 p= 7 N= 1 v=1 q=287 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p=13 N= 1 v=1 q=533 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p=17 N= 1 v=1 q=697 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p=19 N= 1 v=1 q=779 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=41 p=23 N= 1 v=1 q=943 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=41 p=29 N= 1 v=1 q=1189 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
