p=7 a=1 n= 9 M=3 v=2 q=441 m=94 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=13)=3 OK [0.0s]
p=7 a=1 n= 9 M=3 v=3 q=3087 m=94 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=13)=3 OK [0.0s]
p=7 a=1 n= 9 M=5 v=2 q=441 m=157 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=22)=3 OK [0.0s]
p=7 a=1 n= 9 M=5 v=3 q=3087 m=157 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=22)=3 OK [0.1s]
p=7 a=1 n=11 M=1 v=2 q=539 m=38 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=7 a=1 n=11 M=1 v=3 q=3773 m=38 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.1s]
p=7 a=1 n=11 M=3 v=2 q=539 m=115 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=16)=5 OK [0.1s]
p=7 a=1 n=11 M=3 v=3 q=3773 m=115 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=16)=5 OK [0.1s]
p=7 a=1 n=11 M=5 v=2 q=539 m=192 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [0.1s]
p=7 a=1 n=11 M=5 v=3 q=3773 m=192 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [0.1s]
p=7 a=1 n=13 M=1 v=2 q=637 m=45 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.0s]
