p=11 a=1 n=23 M= 5 v=2 q=2783 m=632 d=11 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_57(253))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 2.5s
p=5 a=2 n= 7 M=13 v=4 q=4375 m=1137 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_45(175))=2 rank=2 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 3.0s
p=3 a=2 n=29 M= 5 v=4 q=2349 m=652 d=14 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 14] | ladder OK | W_P=14 W1(A_72(261))=14 rank=14 OK | dB[P]=17 1+a+W1=17 OK | m^2=0 True | 2.7s
p=3 a=3 n=25 M= 1 v=4 q=2025 m=337 d=10 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 10] | ladder OK | W_P=10 W1(A_12(75))=10 rank=10 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 3.0s
p=5 a=2 n= 9 M=11 v=4 q=5625 m=1237 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_49(225))=3 rank=3 OK | dB[P]=6 1+a+W1=6 OK | m^2=0 True | 3.3s
p=3 a=3 n= 7 M=13 v=6 q=5103 m=1228 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | ladder OK | W_P=2 W1(A_45(189))=2 rank=2 OK | dB[P]=6 1+a+W1=6 OK | m^2=0 True | 3.6s
p=5 a=2 n=33 M= 1 v=3 q=4125 m=412 d=10 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_16(165))=10 rank=10 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 3.4s
p=11 a=1 n=25 M= 7 v=2 q=3025 m=962 d=10 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_87(275))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 3.9s
p=5 a=2 n=21 M= 3 v=3 q=2625 m=787 d=6 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_31(105))=5 rank=5 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 4.0s
p=3 a=2 n=23 M=11 v=5 q=5589 m=1138 d=11 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 10] | ladder OK | W_P=10 W1(A_126(621))=10 rank=10 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 4.5s
